step,time_s,dt_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,temperature_linear_normalized_inf_residual,moisture_linear_normalized_inf_residual,linear_normalized_inf_residual,temperature_boundary_flux,temperature_balance_residual,moisture_boundary_flux,moisture_balance_residual
16,16.000000,1.000000,4,1.293188e-12,3.814726e-13,2.538644e-16,2.959937e-16,2.959937e-16,6.430712e-02,-7.190526e-12,-3.862110e-08,-7.345364e-21
17,17.000000,1.000000,4,2.575717e-12,3.628209e-13,2.539186e-16,3.703634e-16,3.703634e-16,6.832744e-02,-9.570790e-11,-3.856469e-08,-9.511915e-20
18,18.000000,1.000000,4,1.247003e-12,3.557155e-13,2.539713e-16,3.707239e-16,3.707239e-16,7.233643e-02,-6.402258e-11,-3.850790e-08,2.200300e-20
19,19.000000,1.000000,4,1.293188e-12,3.339551e-13,2.540217e-16,2.968595e-16,2.968595e-16,7.633442e-02,1.108237e-11,-3.845479e-08,9.008328e-20
20,20.000000,1.000000,4,1.332268e-12,3.157474e-13,2.540708e-16,2.971325e-16,2.971325e-16,8.032175e-02,7.255378e-11,-3.840135e-08,6.984713e-20
21,21.000000,1.000000,4,1.417533e-12,3.028688e-13,3.388240e-16,3.717285e-16,3.717285e-16,8.429869e-02,-4.125429e-11,-3.835103e-08,3.475482e-20
22,22.000000,1.000000,4,1.218581e-12,2.939871e-13,2.541640e-16,2.976587e-16,2.976587e-16,8.826554e-02,1.468622e-11,-3.830044e-08,7.401612e-20
23,23.000000,1.000000,4,1.289635e-12,2.819966e-13,3.389445e-16,2.979128e-16,3.389445e-16,9.222253e-02,-1.932453e-11,-3.825255e-08,-7.288454e-20
24,24.000000,1.000000,4,1.811884e-12,2.704503e-13,3.390022e-16,2.981616e-16,3.390022e-16,9.616992e-02,1.179332e-10,-3.820441e-08,-9.362361e-20
25,25.000000,1.000000,4,1.218581e-12,2.557954e-13,2.542935e-16,2.984048e-16,2.984048e-16,1.001079e-01,7.829712e-11,-3.815863e-08,5.194694e-21
26,26.000000,1.000000,4,2.152944e-12,2.353673e-13,3.391125e-16,2.986426e-16,3.391125e-16,1.040367e-01,3.763415e-11,-3.811265e-08,-1.779431e-20
27,27.000000,1.000000,4,1.296740e-12,2.380318e-13,2.543741e-16,2.988762e-16,2.988762e-16,1.079565e-01,1.976983e-10,-3.806875e-08,-2.511982e-20
28,28.000000,1.000000,4,1.502798e-12,2.184919e-13,3.392170e-16,2.991056e-16,3.392170e-16,1.118675e-01,-2.205434e-11,-3.802467e-08,-6.679649e-20
29,29.000000,1.000000,4,1.776357e-12,2.167155e-13,3.392366e-16,2.993312e-16,3.392366e-16,1.157699e-01,-2.886927e-12,-3.798243e-08,-6.696854e-21
30,30.000000,1.000000,4,1.179501e-12,2.029488e-13,3.393162e-16,2.995521e-16,3.393162e-16,1.196638e-01,1.261799e-10,-3.794006e-08,3.197549e-20
31,31.000000,1.000000,4,2.088996e-12,2.109424e-13,3.393344e-16,2.997693e-16,3.393344e-16,1.235494e-01,-1.177060e-10,-3.789932e-08,9.899698e-20
32,32.000000,1.000000,4,1.961098e-12,1.878497e-13,2.545580e-16,2.999833e-16,2.999833e-16,1.274268e-01,9.429518e-11,-3.785848e-08,-8.007108e-22
33,33.000000,1.000000,4,1.293188e-12,1.940670e-13,2.545921e-16,3.001944e-16,3.001944e-16,1.312962e-01,8.010997e-11,-3.781911e-08,-1.123642e-20
34,34.000000,1.000000,4,1.513456e-12,1.780798e-13,2.546255e-16,3.004009e-16,3.004009e-16,1.351577e-01,1.695551e-10,-3.777965e-08,-4.535597e-20
35,35.000000,1.000000,4,8.526513e-13,1.896261e-13,2.546581e-16,3.006049e-16,3.006049e-16,1.390115e-01,1.176255e-10,-3.774152e-08,-1.679508e-20
36,36.000000,1.000000,4,1.129763e-12,1.705303e-13,2.546900e-16,3.008065e-16,3.008065e-16,1.428576e-01,-1.557326e-11,-3.770332e-08,-1.663096e-19
37,37.000000,1.000000,4,1.179501e-12,1.776357e-13,3.396282e-16,3.010043e-16,3.396282e-16,1.466962e-01,-2.070344e-11,-3.766634e-08,5.831954e-20
38,38.000000,1.000000,4,1.623590e-12,1.771916e-13,3.396688e-16,3.011996e-16,3.396688e-16,1.505274e-01,-3.302569e-11,-3.762930e-08,-9.497357e-20
39,39.000000,1.000000,4,1.435296e-12,1.776357e-13,3.396823e-16,3.013930e-16,3.396823e-16,1.543513e-01,-6.644046e-11,-3.759336e-08,7.588224e-20
40,40.000000,1.000000,4,1.815437e-12,1.705303e-13,3.397475e-16,3.015827e-16,3.397475e-16,1.581679e-01,-8.075127e-11,-3.755738e-08,9.704483e-20
41,41.000000,1.000000,4,1.023182e-12,1.603162e-13,2.548392e-16,3.017704e-16,3.017704e-16,1.619775e-01,1.220155e-10,-3.752242e-08,-9.200234e-20
42,42.000000,1.000000,4,1.239897e-12,1.589839e-13,3.398230e-16,3.019562e-16,3.398230e-16,1.657801e-01,-3.486816e-11,-3.748743e-08,-2.140082e-20
43,43.000000,1.000000,4,2.042810e-12,1.585398e-13,2.548946e-16,3.021387e-16,3.021387e-16,1.695758e-01,4.742945e-11,-3.745337e-08,-9.149279e-20
44,44.000000,1.000000,4,9.876544e-13,1.572076e-13,2.549215e-16,3.023199e-16,3.023199e-16,1.733646e-01,8.956907e-11,-3.741930e-08,5.876953e-20
45,45.000000,1.000000,4,1.353584e-12,1.589839e-13,3.399304e-16,3.024984e-16,3.399304e-16,1.771468e-01,-1.068237e-11,-3.738608e-08,5.642695e-20
46,46.000000,1.000000,4,1.314504e-12,1.434408e-13,2.549736e-16,3.026749e-16,3.026749e-16,1.809222e-01,4.228073e-11,-3.735285e-08,-7.779468e-20
47,47.000000,1.000000,4,1.495692e-12,1.563194e-13,2.549988e-16,3.028499e-16,3.028499e-16,1.846911e-01,-1.239256e-11,-3.732042e-08,1.065409e-19
48,48.000000,1.000000,4,1.801226e-12,1.527667e-13,3.400314e-16,3.030221e-16,3.400314e-16,1.884535e-01,-7.614917e-11,-3.728799e-08,-1.152097e-19
49,49.000000,1.000000,4,1.509903e-12,1.483258e-13,3.400403e-16,3.031932e-16,3.400403e-16,1.922095e-01,-3.526412e-11,-3.725630e-08,-3.582685e-20
50,50.000000,1.000000,4,1.417533e-12,1.456613e-13,3.400956e-16,3.033617e-16,3.400956e-16,1.959592e-01,6.159934e-11,-3.722462e-08,2.228094e-20
51,51.000000,1.000000,4,1.723066e-12,1.492140e-13,3.401267e-16,3.794112e-16,3.794112e-16,1.997025e-01,5.044590e-11,-3.719362e-08,-8.804510e-20
52,52.000000,1.000000,4,1.254108e-12,1.461054e-13,3.401572e-16,3.796179e-16,3.796179e-16,2.034397e-01,6.003589e-11,-3.716264e-08,-1.264528e-19
53,53.000000,1.000000,4,1.648459e-12,1.469935e-13,2.551404e-16,3.038579e-16,3.038579e-16,2.071707e-01,1.005022e-10,-3.713229e-08,-1.030998e-20
54,54.000000,1.000000,4,1.197265e-12,1.567635e-13,3.402166e-16,3.040201e-16,3.402166e-16,2.108957e-01,-3.619782e-11,-3.710198e-08,3.447689e-20
55,55.000000,1.000000,4,1.485034e-12,1.443290e-13,2.551841e-16,3.041802e-16,3.041802e-16,2.146146e-01,-2.095157e-11,-3.707225e-08,-1.317533e-20
56,56.000000,1.000000,4,1.477929e-12,1.381117e-13,3.402737e-16,3.043395e-16,3.402737e-16,2.183276e-01,4.231548e-11,-3.704255e-08,6.557226e-20
57,57.000000,1.000000,4,1.122658e-12,1.429967e-13,2.552261e-16,3.044964e-16,3.044964e-16,2.220347e-01,-5.802933e-11,-3.701341e-08,-2.467645e-20
58,58.000000,1.000000,4,1.758593e-12,1.456613e-13,3.403287e-16,3.046527e-16,3.403287e-16,2.257359e-01,-2.006445e-11,-3.698431e-08,1.686125e-20
59,59.000000,1.000000,4,1.261213e-12,1.385558e-13,2.552665e-16,3.048066e-16,3.048066e-16,2.294314e-01,8.707901e-11,-3.695572e-08,-8.281071e-20
60,60.000000,1.000000,4,1.257661e-12,1.252332e-13,3.403816e-16,3.049601e-16,3.403816e-16,2.331212e-01,-6.243994e-11,-3.692717e-08,-1.518968e-19
61,61.000000,1.000000,4,8.952838e-13,1.292300e-13,2.553052e-16,3.051112e-16,3.051112e-16,2.373639e-01,1.029463e-11,-3.689909e-08,9.218101e-21
62,62.000000,1.000000,4,1.268319e-12,1.376677e-13,3.404314e-16,3.052619e-16,3.404314e-16,2.421517e-01,6.385398e-11,-3.687105e-08,4.931982e-20
63,63.000000,1.000000,4,1.595168e-12,1.492140e-13,3.404552e-16,3.054101e-16,3.404552e-16,2.469221e-01,2.535194e-12,-3.684346e-08,1.392310e-20
64,64.000000,1.000000,4,1.222134e-12,1.412204e-13,2.553588e-16,3.055580e-16,3.055580e-16,2.516792e-01,-8.300277e-11,-3.681593e-08,6.050330e-20
65,65.000000,1.000000,4,1.097789e-12,1.407763e-13,3.405010e-16,3.057034e-16,3.405010e-16,2.564241e-01,7.036866e-11,-3.678881e-08,-2.418014e-20
66,66.000000,1.000000,4,1.008971e-12,1.496581e-13,2.553923e-16,3.058485e-16,3.058485e-16,2.611578e-01,-6.094591e-11,-3.676176e-08,6.375246e-20
67,67.000000,1.000000,4,1.083578e-12,1.469935e-13,3.405445e-16,3.059914e-16,3.405445e-16,2.658808e-01,6.938711e-11,-3.673511e-08,-4.618315e-20
68,68.000000,1.000000,4,9.876544e-13,1.585398e-13,3.405654e-16,3.061338e-16,3.405654e-16,2.705937e-01,-2.513634e-11,-3.670852e-08,1.089033e-19
69,69.000000,1.000000,4,1.442402e-12,1.625367e-13,3.405858e-16,3.062743e-16,3.405858e-16,2.752969e-01,7.962553e-11,-3.668230e-08,2.664183e-20
70,70.000000,1.000000,4,1.627143e-12,1.594280e-13,3.406056e-16,3.064106e-16,3.406056e-16,2.799907e-01,1.493737e-10,-3.665615e-08,5.924598e-20
71,71.000000,1.000000,4,1.289635e-12,1.669775e-13,2.554688e-16,3.065523e-16,3.065523e-16,2.846754e-01,-4.724354e-11,-3.663036e-08,3.735548e-20
72,72.000000,1.000000,4,1.058709e-12,1.696421e-13,3.406439e-16,3.066895e-16,3.406439e-16,2.893512e-01,-6.012690e-12,-3.660463e-08,-1.430692e-20
73,73.000000,1.000000,4,1.737277e-12,1.865175e-13,3.406623e-16,3.068257e-16,3.406623e-16,2.940183e-01,-2.864747e-11,-3.657924e-08,2.977188e-20
74,74.000000,1.000000,4,9.201528e-13,1.922906e-13,2.555102e-16,3.069605e-16,3.069605e-16,2.986770e-01,-2.543360e-11,-3.655391e-08,-1.667596e-20
75,75.000000,1.000000,4,1.175948e-12,1.980638e-13,3.406977e-16,3.070947e-16,3.406977e-16,3.033274e-01,-6.726220e-11,-3.652890e-08,5.213885e-20
76,76.000000,1.000000,4,1.918465e-12,2.100542e-13,3.407147e-16,3.072271e-16,3.407147e-16,3.079696e-01,2.066058e-11,-3.650396e-08,-1.011807e-20
77,77.000000,1.000000,4,1.268319e-12,2.260414e-13,2.555485e-16,3.073593e-16,3.073593e-16,3.126038e-01,-7.395778e-11,-3.647933e-08,-1.352606e-19
78,78.000000,1.000000,4,1.470823e-12,2.211564e-13,3.407475e-16,3.074896e-16,3.407475e-16,3.172302e-01,4.934952e-11,-3.645476e-08,2.117847e-19
79,79.000000,1.000000,4,1.403322e-12,2.331468e-13,2.555724e-16,3.845243e-16,3.845243e-16,3.218489e-01,-3.173500e-11,-3.643048e-08,5.076904e-20
80,80.000000,1.000000,4,1.289635e-12,2.358114e-13,3.407786e-16,3.077481e-16,3.407786e-16,3.264599e-01,-1.059663e-11,-3.640627e-08,-5.178812e-20
81,81.000000,1.000000,4,1.147527e-12,2.540190e-13,3.407749e-16,3.848425e-16,3.848425e-16,3.310635e-01,7.448470e-11,-3.638234e-08,-9.257805e-20
82,82.000000,1.000000,4,1.495692e-12,2.540190e-13,3.408080e-16,3.080028e-16,3.408080e-16,3.356596e-01,2.679446e-11,-3.635847e-08,3.758709e-20
83,83.000000,1.000000,4,1.694644e-12,2.531308e-13,2.556166e-16,3.081282e-16,3.081282e-16,3.402485e-01,7.051498e-11,-3.633487e-08,-1.497462e-19
84,84.000000,1.000000,4,1.744382e-12,2.620126e-13,3.408174e-16,3.082534e-16,3.408174e-16,3.448301e-01,2.529660e-11,-3.631134e-08,1.384369e-20
85,85.000000,1.000000,4,1.094236e-12,2.762235e-13,2.556369e-16,3.083771e-16,3.083771e-16,3.494047e-01,-1.150635e-11,-3.628805e-08,-1.278689e-19
86,86.000000,1.000000,4,1.211475e-12,2.797762e-13,2.556466e-16,3.085002e-16,3.085002e-16,3.539722e-01,-2.713241e-11,-3.626484e-08,6.305763e-20
87,87.000000,1.000000,4,1.428191e-12,2.855494e-13,2.556560e-16,3.086225e-16,3.086225e-16,3.585327e-01,1.878819e-11,-3.624186e-08,-1.408854e-19
88,88.000000,1.000000,4,1.215028e-12,2.993161e-13,3.408869e-16,3.087436e-16,3.408869e-16,3.630864e-01,1.847733e-11,-3.621896e-08,-1.117025e-20
89,89.000000,1.000000,4,1.662670e-12,3.037570e-13,2.556741e-16,3.088645e-16,3.088645e-16,3.676333e-01,-3.919853e-11,-3.619628e-08,-8.132840e-21
90,90.000000,1.000000,4,1.257661e-12,2.970957e-13,2.556827e-16,3.862296e-16,3.862296e-16,3.721735e-01,-5.745870e-11,-3.617367e-08,-1.087908e-20
91,91.000000,1.000000,4,9.166001e-13,3.108624e-13,3.409214e-16,3.091026e-16,3.409214e-16,3.767070e-01,1.443362e-11,-3.615128e-08,1.561055e-20
92,92.000000,1.000000,4,9.912071e-13,3.166356e-13,2.556991e-16,3.092207e-16,3.092207e-16,3.812339e-01,1.986084e-11,-3.612896e-08,-6.325616e-20
93,93.000000,1.000000,4,1.008971e-12,3.219647e-13,3.409253e-16,3.093376e-16,3.409253e-16,3.857543e-01,-1.366897e-10,-3.610685e-08,-4.800295e-20
94,94.000000,1.000000,4,2.291500e-12,3.268497e-13,2.557145e-16,3.094543e-16,3.094543e-16,3.902682e-01,-1.007522e-11,-3.608481e-08,1.005852e-19
95,95.000000,1.000000,4,1.790568e-12,3.455014e-13,2.557219e-16,3.095698e-16,3.095698e-16,3.947757e-01,-7.897516e-12,-3.606297e-08,1.388340e-20
96,96.000000,1.000000,4,1.392664e-12,3.392842e-13,3.409547e-16,3.096847e-16,3.409547e-16,3.992769e-01,-2.939421e-11,-3.604120e-08,-1.492234e-20
97,97.000000,1.000000,4,1.399769e-12,3.494982e-13,2.557358e-16,3.097992e-16,3.097992e-16,4.037717e-01,-9.644757e-11,-3.601962e-08,4.808235e-20
98,98.000000,1.000000,4,1.314504e-12,3.619327e-13,3.409898e-16,3.099122e-16,3.409898e-16,4.082604e-01,-2.305905e-11,-3.599811e-08,7.987918e-20
99,99.000000,1.000000,4,1.634248e-12,3.570477e-13,2.557487e-16,3.100250e-16,3.100250e-16,4.127428e-01,-1.399036e-11,-3.597678e-08,-1.727153e-20
100,100.000000,1.000000,4,1.165290e-12,3.641532e-13,2.557548e-16,3.101370e-16,3.101370e-16,4.172192e-01,-3.860023e-11,-3.595553e-08,1.443265e-20
101,101.000000,1.000000,4,1.520561e-12,3.685940e-13,2.557607e-16,3.878090e-16,3.878090e-16,4.216894e-01,1.280323e-10,-3.593445e-08,7.029050e-20
102,102.000000,1.000000,4,9.592327e-13,3.792522e-13,2.557664e-16,3.103589e-16,3.103589e-16,4.261536e-01,-4.892753e-11,-3.591344e-08,-9.827567e-20
103,103.000000,1.000000,4,1.314504e-12,3.872458e-13,3.410291e-16,3.104685e-16,3.410291e-16,4.306118e-01,-1.435166e-10,-3.589260e-08,3.926130e-20
104,104.000000,1.000000,4,1.058709e-12,3.925749e-13,2.557770e-16,3.105776e-16,3.105776e-16,4.350641e-01,1.540225e-10,-3.587183e-08,-5.929231e-20
105,105.000000,1.000000,4,1.357137e-12,3.983480e-13,3.410426e-16,3.106864e-16,3.410426e-16,4.395105e-01,5.197986e-11,-3.585122e-08,3.771944e-21
106,106.000000,1.000000,4,1.485034e-12,4.027889e-13,2.557867e-16,3.107938e-16,3.107938e-16,4.439510e-01,4.005418e-11,-3.583068e-08,-4.279502e-20
107,107.000000,1.000000,4,1.527667e-12,4.134471e-13,2.557913e-16,3.109010e-16,3.109010e-16,4.483858e-01,2.203904e-12,-3.581029e-08,-3.560847e-20
108,108.000000,1.000000,4,1.396216e-12,4.152234e-13,2.557956e-16,3.110077e-16,3.110077e-16,4.528147e-01,-4.063266e-11,-3.578998e-08,2.385589e-20
109,109.000000,1.000000,4,1.097789e-12,4.236611e-13,3.410663e-16,3.111114e-16,3.410663e-16,4.572380e-01,5.344752e-11,-3.576981e-08,-5.813425e-20
110,110.000000,1.000000,4,1.804779e-12,4.285461e-13,3.410554e-16,3.112185e-16,3.410554e-16,4.616555e-01,3.901651e-11,-3.574972e-08,4.662652e-20
111,111.000000,1.000000,4,1.222134e-12,4.276579e-13,2.558073e-16,3.891514e-16,3.891514e-16,4.660674e-01,6.665718e-11,-3.572977e-08,1.144752e-19
112,112.000000,1.000000,4,1.289635e-12,4.316547e-13,2.558108e-16,3.892834e-16,3.892834e-16,4.704737e-01,5.255879e-11,-3.570988e-08,-1.202191e-19
113,113.000000,1.000000,4,1.975309e-12,4.400924e-13,2.558141e-16,3.894102e-16,3.894102e-16,4.748745e-01,-9.532597e-11,-3.569014e-08,7.259999e-20
114,114.000000,1.000000,4,1.151079e-12,4.414247e-13,3.410895e-16,3.116329e-16,3.410895e-16,4.792696e-01,-6.219497e-11,-3.567047e-08,4.008848e-20
115,115.000000,1.000000,4,1.296740e-12,4.596323e-13,2.558200e-16,3.117348e-16,3.117348e-16,4.836593e-01,-5.163830e-11,-3.565092e-08,-6.920524e-20
116,116.000000,1.000000,4,1.236344e-12,4.525269e-13,2.558227e-16,3.118365e-16,3.118365e-16,4.880436e-01,2.764433e-11,-3.563145e-08,-1.004528e-19
117,117.000000,1.000000,4,9.912071e-13,4.534151e-13,2.558251e-16,3.899185e-16,3.899185e-16,4.924224e-01,3.246092e-11,-3.561211e-08,-8.690690e-20
118,118.000000,1.000000,4,1.602274e-12,4.636291e-13,2.558274e-16,3.120375e-16,3.120375e-16,4.967958e-01,1.202620e-10,-3.559283e-08,-3.617095e-20
119,119.000000,1.000000,4,1.389111e-12,4.751755e-13,2.558295e-16,3.121375e-16,3.121375e-16,5.011639e-01,3.923561e-11,-3.557368e-08,8.048136e-20
120,120.000000,1.000000,4,1.872280e-12,4.676259e-13,3.411086e-16,3.122337e-16,3.411086e-16,5.055266e-01,1.201239e-11,-3.555459e-08,-1.892655e-19
121,121.000000,1.000000,4,1.534772e-12,4.565237e-13,2.558335e-16,3.123350e-16,3.123350e-16,5.091777e-01,2.343681e-13,-3.553563e-08,-7.359922e-20
122,122.000000,1.000000,4,1.321609e-12,4.556355e-13,3.410990e-16,3.124304e-16,3.410990e-16,5.121272e-01,-3.629952e-11,-3.551674e-08,-1.116826e-19
123,123.000000,1.000000,4,1.403322e-12,4.725109e-13,2.558380e-16,3.125277e-16,3.125277e-16,5.150866e-01,1.709677e-11,-3.549797e-08,-6.387158e-20
124,124.000000,1.000000,4,1.197265e-12,4.773959e-13,3.411203e-16,3.126277e-16,3.411203e-16,5.180508e-01,-3.176293e-11,-3.547926e-08,5.036537e-20
125,125.000000,1.000000,4,1.733724e-12,4.702905e-13,2.558424e-16,3.127246e-16,3.127246e-16,5.210184e-01,-3.178346e-12,-3.546067e-08,-1.391252e-19
126,126.000000,1.000000,4,1.517009e-12,4.747314e-13,2.558445e-16,3.128207e-16,3.128207e-16,5.239882e-01,-1.785816e-11,-3.544214e-08,2.382942e-20
127,127.000000,1.000000,4,1.037392e-12,4.742873e-13,2.558466e-16,3.129164e-16,3.129164e-16,5.269596e-01,-6.903322e-11,-3.542371e-08,7.633223e-20
128,128.000000,1.000000,4,1.186606e-12,4.680700e-13,3.411315e-16,3.130089e-16,3.411315e-16,5.299320e-01,4.250855e-11,-3.540535e-08,4.295383e-20
129,129.000000,1.000000,4,1.143974e-12,4.791723e-13,2.558505e-16,3.131071e-16,3.131071e-16,5.329050e-01,-2.680944e-11,-3.538710e-08,3.130713e-20
130,130.000000,1.000000,4,1.520561e-12,4.773959e-13,2.558524e-16,3.132015e-16,3.132015e-16,5.358783e-01,-2.988876e-11,-3.536891e-08,-1.027027e-20
131,131.000000,1.000000,4,1.183054e-12,4.805045e-13,2.558541e-16,3.132958e-16,3.132958e-16,5.388515e-01,-3.408418e-11,-3.535082e-08,1.423545e-19
132,132.000000,1.000000,4,1.382006e-12,4.742873e-13,2.558558e-16,3.133864e-16,3.133864e-16,5.418245e-01,-1.686518e-11,-3.533279e-08,4.749340e-20
133,133.000000,1.000000,4,1.012523e-12,4.836131e-13,3.411432e-16,3.134829e-16,3.411432e-16,5.447970e-01,-2.274669e-11,-3.531486e-08,1.218867e-19
134,134.000000,1.000000,4,1.016076e-12,4.884981e-13,3.411306e-16,3.135726e-16,3.411306e-16,5.477689e-01,4.206180e-11,-3.529700e-08,3.103582e-20
135,135.000000,1.000000,4,1.339373e-12,4.813927e-13,2.558603e-16,3.136688e-16,3.136688e-16,5.507401e-01,-2.992839e-11,-3.527923e-08,-8.209602e-20
136,136.000000,1.000000,4,1.101341e-12,4.827250e-13,2.558616e-16,3.137572e-16,3.137572e-16,5.537103e-01,-1.536471e-11,-3.526152e-08,-7.023094e-20
137,137.000000,1.000000,4,1.076472e-12,4.898304e-13,2.558628e-16,3.138525e-16,3.138525e-16,5.566795e-01,7.130962e-11,-3.524390e-08,2.439852e-20
138,138.000000,1.000000,4,1.286082e-12,4.947154e-13,3.411518e-16,3.139407e-16,3.411518e-16,5.596476e-01,-3.798706e-11,-3.522635e-08,1.026829e-19
139,139.000000,1.000000,4,1.218581e-12,4.938272e-13,2.558649e-16,3.140350e-16,3.140350e-16,5.626145e-01,1.699729e-11,-3.520888e-08,1.005058e-19
140,140.000000,1.000000,4,1.950440e-12,5.031531e-13,3.411544e-16,3.141255e-16,3.411544e-16,5.655801e-01,-1.386214e-10,-3.519148e-08,-1.135156e-19
141,141.000000,1.000000,4,1.538325e-12,4.902745e-13,2.558666e-16,3.142160e-16,3.142160e-16,5.685444e-01,-4.195466e-11,-3.517416e-08,-6.365982e-20
142,142.000000,1.000000,4,1.392664e-12,4.924949e-13,3.411564e-16,3.143020e-16,3.411564e-16,5.715072e-01,7.363887e-11,-3.515691e-08,-1.014785e-19
143,143.000000,1.000000,4,1.460165e-12,5.133671e-13,2.558679e-16,3.929891e-16,3.929891e-16,5.744685e-01,7.839740e-11,-3.513973e-08,-7.224265e-20
144,144.000000,1.000000,4,1.637801e-12,5.084821e-13,3.411579e-16,3.144843e-16,3.411579e-16,5.774283e-01,-4.771294e-11,-3.512262e-08,7.943581e-20
145,145.000000,1.000000,4,1.893596e-12,5.049294e-13,2.558688e-16,3.145692e-16,3.145692e-16,5.803865e-01,7.270951e-11,-3.510559e-08,2.099715e-20
146,146.000000,1.000000,4,9.556800e-13,5.213607e-13,2.558691e-16,3.146573e-16,3.146573e-16,5.833430e-01,-2.195732e-11,-3.508862e-08,4.913453e-20
147,147.000000,1.000000,4,1.335820e-12,5.160317e-13,3.411452e-16,3.147453e-16,3.411452e-16,5.862979e-01,-5.479039e-11,-3.507173e-08,2.289636e-20
148,148.000000,1.000000,4,1.385558e-12,5.182521e-13,2.558695e-16,3.148331e-16,3.148331e-16,5.892510e-01,-6.727219e-11,-3.505489e-08,-5.475936e-20
149,149.000000,1.000000,4,1.087130e-12,5.244694e-13,3.411593e-16,3.149241e-16,3.411593e-16,5.922024e-01,4.647283e-12,-3.503813e-08,9.674704e-21
150,150.000000,1.000000,4,1.318057e-12,5.258016e-13,2.558694e-16,3.937585e-16,3.937585e-16,5.951519e-01,-1.303108e-10,-3.502144e-08,-5.034552e-20
151,151.000000,1.000000,4,1.421085e-12,5.200285e-13,2.558692e-16,3.150976e-16,3.150976e-16,5.980997e-01,1.888012e-11,-3.500481e-08,-2.067952e-20
152,152.000000,1.000000,4,1.424638e-12,5.182521e-13,2.558689e-16,3.151837e-16,3.151837e-16,6.010455e-01,-1.147815e-11,-3.498825e-08,-1.266050e-19
153,153.000000,1.000000,4,1.474376e-12,5.266898e-13,3.411580e-16,3.152693e-16,3.411580e-16,6.039895e-01,2.340605e-11,-3.497176e-08,4.256341e-20
154,154.000000,1.000000,4,1.616485e-12,5.222489e-13,3.411574e-16,3.153548e-16,3.411574e-16,6.069316e-01,-5.749234e-11,-3.495532e-08,-1.524659e-20
155,155.000000,1.000000,4,1.747935e-12,5.342393e-13,2.558674e-16,3.154358e-16,3.154358e-16,6.098718e-01,4.877898e-11,-3.493896e-08,-4.886983e-20
156,156.000000,1.000000,4,1.563194e-12,5.297984e-13,3.411557e-16,3.155246e-16,3.411557e-16,6.128100e-01,-4.372724e-12,-3.492265e-08,-6.565829e-20
